Comment ID,Tracking Number,Country,State or Province,Document Subtype,Received Date,Comment,URL
CDC-2026-0199-0002,mm8-u6zl-83gu,,,,2026-03-02T05:00:00Z,"Public Comment &ndash; Advisory Committee on Immunization Practices (ACIP)<br/>March 18&ndash;19, 2026 Meeting<br/>Docket No. CDC&ndash;2026&ndash;0199<br/><br/>I am submitting this executive summary along with my full public comment letter, a peer-reviewed case study detailing my longitudinal laboratory findings, and a comprehensive list of ICD codes assigned since 2021. All referenced documentation is being uploaded with this submission.<br/><br/>I am a U.S. patient who developed progressive multi-system illness following three doses of the Pfizer&ndash;BioNTech COVID-19 mRNA vaccine. Diagnoses since 2021 have included pulmonary emboli, progressive bilateral sensorineural hearing loss with persistent tinnitus, chronic pancreatitis confirmed by endoscopic ultrasound, small intestine bacterial overgrowth, small fiber neuropathy, autonomic dysfunction, biopsy-confirmed dermatologic inflammatory disease, and MRI-confirmed myocarditis. These conditions have resulted in sustained functional impairment. I remain medically disabled and have been unable to return to my more than 20-year career in the medical industry.<br/><br/>For nearly two years, recurrent chest pain and exertional symptoms were attributed to anxiety until cardiac MRI documented myocarditis. That diagnosis prompted comprehensive evaluation across cardiology, immunology, rheumatology, infectious disease, neurology, and gastroenterology. Extensive investigation across infectious, autoimmune, genetic, metabolic, hematologic, and toxicologic domains did not identify an alternative unifying cause.<br/><br/>During evaluation for possible asymptomatic SARS-CoV-2 infection, routine serology revealed persistently elevated spike antibodies more than two years after vaccination, while nucleocapsid antibodies remained negative across independent laboratories. Testing was repeated to exclude laboratory error, with consistent results. Persistent antibody titers prompted further investigation.<br/><br/>Longitudinal molecular studies were subsequently performed across multiple independent laboratories using complementary methodologies. Findings included persistent spike protein in plasma and circulating exosomes beyond 1,100 days post-vaccination; RT-PCR detection of vaccine-derived spike mRNA sequences in exosomes beyond 1,200 days; detection of plasmid backbone elements within peripheral blood mononuclear cells; detection of spike protein and plasmid DNA sequences in serial skin biopsies beyond 1,300 days; immunohistochemical detection of spike protein within endothelial cells and perivascular macrophages; detection of spike protein and vaccine-associated sequences within PBMCs, including spike protein&ndash;positive monocytes; and ongoing immune dysregulation documented on serial cytokine and transcriptomic analysis.<br/><br/>This is a single case; therefore, the findings were gathered longitudinally, across independent laboratories, and using converging detection platforms to enhance reliability. Reproducible findings over time warrant structured replication rather than dismissal.<br/><br/>I am hesitant to characterize this phenomenon as rare because longitudinal human studies specifically designed to evaluate molecular persistence have not been conducted. Without systematic evaluation, frequency cannot be determined. Most citizens lack the financial resources or biological literacy to pursue multi-year molecular investigation. If persistence occurs in individuals, current safety monitoring frameworks are not structured to detect it.<br/><br/>Recent investigative reporting and congressional findings have examined internal federal discussions regarding communication of myocarditis risk signals during vaccine rollout, indicating that concerns about vaccine hesitancy influenced timing and framing of public safety communication. As someone later diagnosed with MRI-confirmed myocarditis after prolonged attribution of symptoms to anxiety, transparent and timely safety communication is critically important.<br/><br/>ACIP plays a central advisory role in shaping national vaccine policy and post-authorization safety priorities. I respectfully request that ACIP support longitudinal human biodistribution and persistence studies; independent audit and transparent reporting of residual plasmid DNA levels and fragment size distribution; development of structured evaluation pathways for patients with persistent laboratory anomalies following vaccination; and review of compensation and surveillance frameworks to better account for delayed or progressive diagnoses.<br/><br/>Scientific integrity requires structured replication of converging longitudinal findings. Transparency and rigorous investigation are essential to maintaining durable public confidence.<br/><br/>Respectfully submitted.- Steve",https://api.regulations.gov/v4/comments/CDC-2026-0199-0002
CDC-2026-0199-0003,mm8-x7fs-eymc,,,,2026-03-02T05:00:00Z,"For the next pandemic, what is The Immunization Plan?",https://api.regulations.gov/v4/comments/CDC-2026-0199-0003
CDC-2026-0199-0004,mm9-d3x5-87xl,,,,2026-03-02T05:00:00Z,"My first statement might surprise you - I am pro vaccines.  I think they can save lives.  Unfortunately, they can also negatively impact lives permanently.  I am one of those people.  I have no spleen as a result of a bad car accident decades ago in which I suffered internal injures, including rupture of my spleen, which resulted in me being immunocompromised.  &quot;No big deal&quot; as long as I took precautions, according to my doctors.  That&#39;s because I could still have vaccines.  Then along came COVID.  I had my first dose of the vaccine.  I was shocked to hear people complain that they had a little aching.  A &quot;little aching?&quot;  I had a high fever and my muscles hurt so badly I could barely raise myself from my couch.  Little did I know that was just the beginning of my reactions.  The next dose was worse.  And with the third, I thought I was having a flare of my mild small fiber neuropathy.  Except it was different, unlike anything I had ever encountered before.  Both hands and both feet were tingling and numb.  And then the sensation began to spread up my legs.  I was trying to not panic, telling myself &quot;something&quot; had aggravated a flare of my neuropathy and to just hang in since there wasn&#39;t really anything my doctors could do for my neuropathy.  And then my right eyelid drooped and closed.  And I couldn&#39;t open it.  First I went to my optometrist because I already had a scheduled appointment and could get in quickly.  He sent me to an ophthalmologist who specialized in eyelids.  By the time I got in, I was better, but when his fellow had me look around, my eyelid again became droopy.  The ophthalmologist thought I had myasthenia gravis.  Tests were negative.  I told my primary physician, who said I should call my neurologist right away.  After seeing his fellow, my neurologist came in and immediately asked me if I had had any vaccines.  Yes, maybe a week or two before symptoms started.  He told me I had had Guillain Barre Syndrome (GBS) and said I should recover.  The next fall, my primary told me she was concerned about me not getting vaccines because of my compromised immune system and hardly anyone ever had GBS again - please get the flu vaccine.   I did.  Around a week or so later, the same thing happened - tinging and numbness in my feet and hands, moving up my legs, and drooping of my eyelid.  The verdict from my immunologist was that it was not safe for me to have more vaccines because now my body overreacts to them.  Initially (and still) I thought about the dangers of someone with a compromised immune system being unable to have vaccines again.  My immunologist has reinforced that because she has told me that it&#39;s not just COVID that could kill me - it&#39;s the flu, RSV, and more.  And she instructed me to wear a mask whenever I am away from home.  But that&#39;s only part of how the vaccine caused me to react has affected my life.  As you know, socialization in America revolves around food.  You can&#39;t eat food with a mask on.  My social life has almost entirely disappeared, as have my friends.  I guess it&#39;s too much trouble to call or even message someone they can&#39;t meet in person over a meal.  Three times a year, I literally risk death by celebrating Thanksgiving, Christmas, and Easter without a mask.  I do the same for a few birthdays.  I go and hide that I am wondering if I will get sick, if I will survive, because my doctors have repeatedly told me that just &quot;avoiding sick people&quot; isn&#39;t enough because someone can be contagious for two full days before they even know they&#39;re sick.  My life will never be the same.  Frankly, I will never consider myself worthy of love, worthy of caring, worthy of friendship again because of the people that have disappeared from my life.  And yet, the manufacturers have not been held accountable for what happened to me or others.  Please hold them accountable for the few lives lost and the more lives that were forever changed.  Because, although we are few, we DO matter.",https://api.regulations.gov/v4/comments/CDC-2026-0199-0004
CDC-2026-0199-0005,mm9-lqxe-sx83,,,,2026-03-02T05:00:00Z,"I have made a point to listen to the new chair. He is obviously a caring, committed cardiologist. That said, it quickly became obvious he is a concierge physician. While his mindset works well for individual patient care he has zero understanding of public health. A macro view of population health is required to make credible decisions impacting millions. He is incapable of thinking in this manner based on interview after interview. He is dangerous I the AICP chair position and should be replaced with experts in the appropriate fields relative to vaccine science.",https://api.regulations.gov/v4/comments/CDC-2026-0199-0005
CDC-2026-0199-0006,mm9-fb5k-063k,,,,2026-03-02T05:00:00Z,"CDC should evaluate the National Health and Nutrition Examination Survey for its utility in vaccine injuries surveillance. If necessary, NHANES should be redesigned to estimate the prevalence of vaccine injuries.",https://api.regulations.gov/v4/comments/CDC-2026-0199-0006
CDC-2026-0199-0007,mm9-mcg3-ynb4,,,,2026-03-02T05:00:00Z,"Pfizer vaccine reaction - my mother developed Dupuytren&#39;s contracture within 3 days of her 2nd Pfizer vaccination. Her doctor agreed that the timing of the onset and the fast onset of the disease made it likely that it was a vaccine reaction. However, she did not file a VAERS report.",https://api.regulations.gov/v4/comments/CDC-2026-0199-0007
CDC-2026-0199-0008,mma-tdam-shi3,,,,2026-03-03T05:00:00Z,"Dear CDC members, This is a plea to please hear the truth about the vaccine injured.  I have one dead friend and multiple others who have suffered from this  mRNA technology.  I never took these injections  but having followed many injured both personally and through social media it is clear they need to be recognized and helped.  Many years ago I had a very adverse reaction to a rubella (no doubt it was an MMR) shot that my doctor recommended and told it was &quot;rare&quot; but it was from the shot   Luckily after several weeks of illness I recovered. Now I see more clearly .  Right now the vax injured need help and not gaslighting, be it from pharma and or government .   Thank you very much ",https://api.regulations.gov/v4/comments/CDC-2026-0199-0008
CDC-2026-0199-0009,mma-sv6q-imxy,,,,2026-03-03T05:00:00Z,"Vaccines are effective and safe, and I deserve to live in a country where the vast majority of people who trust in facts can live without the scourge of measles, mumps, rubella, polio, and more can kill me early or kill small children whose parents are too scared of misinformation to protect them. Vaccines save lives, and the CDC Advisory Committee on Immunization Practices (ACIP) needs to listen to the people--not their handful of extremist backers--in their recommendations. <br/><br/>The ACIP&#39;s guidelines and regulations have critical impact to public health; unless its leaders want blood on their hands, they&#39;ll vote to defend the freedom to vaccinate. Anti-vaxxers and vaccine questioners already have the freedom to abstain from jabs; the vast majority of Americans want the freedom to obtain critical preventative care--especially for new diseases like COVID, whose long-term effects we&#39;re only just beginning to understand. The risk of vaccinating far outweighs the risks we already know about this horrific virus.<br/><br/>In short, keep your freedom FROM; provide the freedom TO. ",https://api.regulations.gov/v4/comments/CDC-2026-0199-0009
CDC-2026-0199-0010,mma-r71a-edqv,,,,2026-03-03T05:00:00Z,"Initial dose of Moderna covid19 injection gave me Complex Regional Pain Syndrome and whole body Allodynia for 5 years and counting. I&rsquo;ve lost everything-health, career, ocean view home, custody of my child, possessions, fianc&eacute;, friendships, retirement got fucked up after 27 years of being a schoolteacher, etc etc etc. The culmination was homelessness in March 2025 which continues to this day. LAUSD coerced me illegally to receive the Covid injection. UTLA, my teachers union abandoned me after my injuries. I was constructively terminated by LAUSD. I&rsquo;m still homeless&hellip;",https://api.regulations.gov/v4/comments/CDC-2026-0199-0010
CDC-2026-0199-0011,mma-p1cx-dpvx,,,,2026-03-03T05:00:00Z,"If you want to make America healthier, then recommending vaccines and making them available to everyone is one proven way to do it. <br/>In particular, COVID vaccines need to be available to people of all ages. Please follow the science on how often they can be taken. We&#39;re saying once a year, but as I understand the current science, they&#39;re needed more often than that. <br/>I have a friend who has long COVID. In 2019, my friend was a massage therapist and a runner. (For fun.) What I want to emphasize is that people with severe long COVID literally cannot do things. I&#39;m not talking work, my friend certainly can&#39;t work. I&#39;m talking basics. Eating, showering, cleaning around the house? Pick two. The rest of your day is spent horizontal or asleep. You&#39;re interested in economic impact? Fine. My friend was one of the best massage therapists around. They paid taxes, but more than that, they helped a lot of people, including policemen, people with chronic pain, and me, to function better at our jobs. All of those people are impacted by the loss of my friend&#39;s ability.<br/>From my perspective, I don&#39;t want my friend to get COVID again, and I don&#39;t want anyone else to go through what my friend has gone through. You can help prevent that. Vaccines work for their specified time. Let all of us get them, at the most effective rate. Let all of us protect ourselves from preventable disability. ",https://api.regulations.gov/v4/comments/CDC-2026-0199-0011
